symbol,price,timestamp
BITCOIN,59872.9611047140493368,2024-08-20 20:07:57.409279
ETHEREUM,2609.2362225347154537,2024-08-20 20:07:58.124785
SOLANA,143.2605787238122405,2024-08-20 20:07:59.355601
DOGECOIN,0.1030774792971262,2024-08-20 20:08:00.023632
CARDANO,0.3416752462138607,2024-08-20 20:08:00.790085
BITCOIN,59872.9611047140493368,2024-08-20 20:08:06.414062
ETHEREUM,2609.2362225347154537,2024-08-20 20:08:07.043649
SOLANA,143.2605787238122405,2024-08-20 20:08:08.366261
DOGECOIN,0.1031524222578419,2024-08-20 20:08:09.081174
CARDANO,0.3416752462138607,2024-08-20 20:08:09.729089
BITCOIN,59898.3856181532351451,2024-08-20 20:08:15.627260
ETHEREUM,2609.2362225347154537,2024-08-20 20:08:16.453487
SOLANA,143.5412338764669971,2024-08-20 20:08:17.273771
DOGECOIN,0.1031524222578419,2024-08-20 20:08:18.096750
CARDANO,0.3419768821942362,2024-08-20 20:08:18.913379
BITCOIN,59898.3856181532351451,2024-08-20 20:08:24.806752
ETHEREUM,2610.0184873423954978,2024-08-20 20:08:25.568345
SOLANA,143.5412338764669971,2024-08-20 20:08:26.291011
DOGECOIN,0.1031524222578419,2024-08-20 20:08:27.001786
CARDANO,0.3419768821942362,2024-08-20 20:08:27.719104
BITCOIN,59898.3856181532351451,2024-08-20 20:08:33.455828
ETHEREUM,2610.0184873423954978,2024-08-20 20:08:34.169129
SOLANA,143.5412338764669971,2024-08-20 20:08:34.824740
DOGECOIN,0.1031524222578419,2024-08-20 20:08:35.503660
CARDANO,0.3419768821942362,2024-08-20 20:08:36.322646
BITCOIN,59898.3856181532351451,2024-08-20 20:08:42.572336
ETHEREUM,2610.0184873423954978,2024-08-20 20:08:43.384044
SOLANA,143.5412338764669971,2024-08-20 20:08:44.206556
DOGECOIN,0.1031524222578419,2024-08-20 20:08:45.000086
CARDANO,0.3419768821942362,2024-08-20 20:08:45.949549
BITCOIN,59873.4641421091085715,2024-08-20 20:08:51.666857
ETHEREUM,2609.6547035809118114,2024-08-20 20:08:52.468696
SOLANA,143.5344066321346811,2024-08-20 20:08:53.224315
DOGECOIN,0.1031108088978764,2024-08-20 20:08:54.047796
CARDANO,0.3421067897894811,2024-08-20 20:08:54.944729
BITCOIN,59873.4641421091085715,2024-08-20 20:09:00.997636
ETHEREUM,2609.6547035809118114,2024-08-20 20:09:01.714210
SOLANA,143.5344066321346811,2024-08-20 20:09:02.363443
DOGECOIN,0.1031108088978764,2024-08-20 20:09:03.057644
CARDANO,0.3421067897894811,2024-08-20 20:09:03.763375
BITCOIN,59873.4641421091085715,2024-08-20 20:09:09.501417
ETHEREUM,2609.6547035809118114,2024-08-20 20:09:10.318947
SOLANA,143.5344066321346811,2024-08-20 20:09:11.034240
DOGECOIN,0.1031108088978764,2024-08-20 20:09:12.060647
CARDANO,0.3421067897894811,2024-08-20 20:09:13.004782
BITCOIN,59873.4641421091085715,2024-08-20 20:09:19.124670
ETHEREUM,2609.7290100036336440,2024-08-20 20:09:21.143820
SOLANA,143.3889953388893477,2024-08-20 20:09:22.472039
DOGECOIN,0.1031079168231206,2024-08-20 20:09:23.530888
CARDANO,0.3421909104880959,2024-08-20 20:09:24.549951
BITCOIN,59868.5286616401147049,2024-08-20 20:09:30.656556
ETHEREUM,2609.7290100036336440,2024-08-20 20:09:31.923339
SOLANA,143.3889953388893477,2024-08-20 20:09:32.951724
DOGECOIN,0.1031079168231206,2024-08-20 20:09:34.485730
CARDANO,0.3421909104880959,2024-08-20 20:09:35.525948
BITCOIN,59868.5286616401147049,2024-08-20 20:09:41.215416
ETHEREUM,2609.7290100036336440,2024-08-20 20:09:42.371402
SOLANA,143.3889953388893477,2024-08-20 20:09:42.985932
DOGECOIN,0.1031079168231206,2024-08-20 20:09:43.703556
CARDANO,0.3421909104880959,2024-08-20 20:09:44.415398
BITCOIN,59868.5286616401147049,2024-08-20 20:09:50.020131
ETHEREUM,2606.3799997153507841,2024-08-20 20:09:50.675485
SOLANA,143.2893342826934103,2024-08-20 20:09:51.381100
DOGECOIN,0.1030844425209054,2024-08-20 20:09:52.136838
CARDANO,0.3421166241495215,2024-08-20 20:09:52.919165
BITCOIN,59852.8701814506672089,2024-08-20 20:09:58.550568
ETHEREUM,2606.3799997153507841,2024-08-20 20:09:59.201655
SOLANA,143.2893342826934103,2024-08-20 20:09:59.825540
DOGECOIN,0.1030844425209054,2024-08-20 20:10:00.598804
CARDANO,0.3421166241495215,2024-08-20 20:10:01.525272
BITCOIN,59852.8701814506672089,2024-08-20 20:10:07.358071
ETHEREUM,2606.3799997153507841,2024-08-20 20:10:08.082372
SOLANA,143.2893342826934103,2024-08-20 20:10:08.677596
DOGECOIN,0.1030844425209054,2024-08-20 20:10:09.362716
CARDANO,0.3421166241495215,2024-08-20 20:10:10.018058
BITCOIN,59852.8701814506672089,2024-08-20 20:10:15.674681
ETHEREUM,2606.3799997153507841,2024-08-20 20:10:16.367379
SOLANA,143.2893342826934103,2024-08-20 20:10:17.084589
DOGECOIN,0.1030844425209054,2024-08-20 20:10:17.703748
CARDANO,0.3421166241495215,2024-08-20 20:10:18.931048
BITCOIN,59840.3839324516312345,2024-08-20 20:10:24.974761
ETHEREUM,2605.7404658560908502,2024-08-20 20:10:25.982777
SOLANA,143.2991204478031767,2024-08-20 20:10:27.117424
DOGECOIN,0.1030913257533995,2024-08-20 20:10:28.140019
CARDANO,0.3421044753320631,2024-08-20 20:10:29.269949
BITCOIN,59840.3839324516312345,2024-08-20 20:10:35.291772
ETHEREUM,2605.7404658560908502,2024-08-20 20:10:36.439314
SOLANA,143.2991204478031767,2024-08-20 20:10:37.957766
DOGECOIN,0.1030913257533995,2024-08-20 20:10:39.104394
CARDANO,0.3421044753320631,2024-08-20 20:10:40.232225
BITCOIN,59840.3839324516312345,2024-08-20 20:10:46.372993
ETHEREUM,2605.7404658560908502,2024-08-20 20:10:49.044907
SOLANA,143.2991204478031767,2024-08-20 20:10:51.082108
DOGECOIN,0.1031187314843874,2024-08-20 20:10:52.384212
CARDANO,0.3416648708437167,2024-08-20 20:10:53.023373
BITCOIN,59843.6175933147175146,2024-08-20 20:10:58.664250
ETHEREUM,2605.9457174555057912,2024-08-20 20:10:59.582829
SOLANA,143.2991204478031767,2024-08-20 20:11:00.303057
DOGECOIN,0.1031187314843874,2024-08-20 20:11:01.015507
CARDANO,0.3416648708437167,2024-08-20 20:11:01.937263
